Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Azerbaijan,AZE,24.6142,25.3838,26.6415,28.5712,30.3855,32.2333,34.0402,35.594,36.5941,38.1104,40.0848,42.5452,44.7712,46.6708,48.4572,50.9451,52.9104,54.7143,56.5963,57.0672,59.3168,58.1961,59.2965,60.1465,60.6878,65.4501,65.6289,68.3938,70.2733,68.8014,64.5077,62.1764,57.6311,49.3248,42.638,33.4523,31.4848,29.7847,31.6496,28.5536,29.4842,28.7477,29.5905,30.5907,32.0637,34.3097,39.1352,30.4845,35.4748,31.8768,30.653,33.4303,35.1216,36.1921,37.6939
Bahamas,BHM,0.41037,0.54594,0.72547,0.70715,1.0845,1.3154,1.0919,1.7038,1.6305,1.7441,2.5721,6.7271,6.4853,7.8666,7.383,8.2477,6.4596,9.7096,6.6025,6.925,7.9839,2.7993,2.2607,2.0152,1.854,1.5096,1.4106,1.4216,1.5389,1.9456,1.9492,1.7807,1.7917,1.7001,1.6854,1.6818,1.6671,1.363,1.6781,1.6744,1.6671,1.5682,1.5755,1.5169,1.7221,1.5975,1.5206,1.5462,1.0442,1.6415,2.4622,1.9053,1.8948,1.8711,1.895
Bahrain,BHR,0.57525,1.7697,1.5902,1.1945,1.5975,1.2274,0.64853,1.0039,1.1029,1.2714,2.5904,3.0375,3.6787,5.518,5.4007,5.7488,6.5696,7.4636,7.7604,8.1268,7.8813,8.5188,9.8305,8.222,9.2003,10.1859,11.003,11.4207,12.1535,11.7285,12.6555,12.3257,11.4463,15.6892,15.9567,16.008,15.6086,17.3051,18.3896,18.0049,18.6278,13.9159,15.6856,16.455,17.4956,19.192,18.8146,21.995,23.9919,21.6872,23.2334,23.4203,24.2528,25.5961,25.4886
Bangladesh,BGD,2.2119,2.2905,2.5168,2.8933,2.9747,3.1214,3.1764,3.3712,3.8657,3.7494,3.8033,3.6062,3.5064,4.5507,4.6569,4.8658,5.5656,5.8074,6.0126,6.6428,7.6321,7.9252,8.5921,8.2293,9.116,10.2262,11.4537,11.853,13.5348,13.4432,15.5207,15.9274,17.7338,17.393,18.9539,22.7974,24.0102,25.0434,24.0285,25.2156,27.8464,32.4301,33.6795,33.8554,39.7178,37.523,48.0973,46.8479,49.5409,52.7469,56.1068,57.0228,60.6747,63.6569,66.7734
Barbados,BRB,0.17221,0.19419,0.26014,0.19053,0.17954,0.20518,0.26747,0.33709,0.43968,0.47998,0.42869,0.48365,0.50197,0.47998,0.49098,0.56792,0.53128,0.5899,0.63021,0.6009,0.67418,0.68517,0.64486,0.68517,0.74746,0.84638,0.916,0.94165,0.94531,0.98928,1.0736,1.2055,0.97829,1.1139,0.74746,0.82806,0.85005,0.90134,1.1395,1.2091,1.1871,1.2201,1.2274,1.2677,1.2934,1.352,1.3703,1.429,1.6268,1.6232,1.5169,1.5645,1.5381,1.526,1.5433
Belarus,BLR,37.3352,38.5025,40.4102,43.3373,46.0893,48.892,51.6326,53.9896,55.5064,57.8064,60.8013,64.5332,67.9097,70.791,73.5007,77.2743,80.2554,82.9916,85.8461,86.5605,89.9726,88.2728,89.9418,91.2312,92.0523,99.2758,99.547,103.7408,106.5917,104.359,103.8068,97.4754,90.0602,77.2042,64.5062,57.5998,58.5538,59.868,58.0648,55.4041,53.3193,52.347,52.5288,52.8913,56.2585,56.6698,59.1285,58.28,60.3287,56.8086,58.298,55.3809,57.4907,57.8481,58.3279
Belgium,BEL,90.9258,92.7175,98.0376,105.6954,103.5776,105.3547,105.1202,107.3845,118.4608,123.5171,125.5176,121.4286,130.7279,138.7593,135.11,122.0002,129.9035,126.4666,135.7439,140.1187,135.1906,123.9201,117.4568,101.5478,105.3363,104.3874,102.7899,103.0317,100.2727,107.3735,118.9888,121.4466,119.909,118.9121,123.401,124.3236,128.3541,122.7231,128.9664,123.4476,125.1517,125.1364,125.4594,127.2759,128.0719,124.3436,121.5371,117.0694,119.4525,106.8273,113.4292,104.2707,100.6594,101.9316,99.6045
Belize,BLZ,0.043968,0.03664,0.069616,0.062288,0.084272,0.084272,0.080608,0.12091,0.10259,0.13557,0.12091,0.1429,0.15755,0.14656,0.15389,0.17587,0.17587,0.19786,0.21618,0.20885,0.19053,0.1832,0.17221,0.17221,0.17221,0.19053,0.20518,0.22717,0.24915,0.30045,0.31144,0.35907,0.35541,0.37739,0.37373,0.37739,0.30778,0.38838,0.37006,0.6009,0.68883,0.71082,0.3664,0.38472,0.39571,0.41403,0.43235,0.458,0.45067,0.46899,0.55326,0.5496,0.55426,0.54982,0.55656
Benin,BEN,0.16122,0.12824,0.13557,0.12091,0.1429,0.15022,0.11358,0.1429,0.15389,0.20152,0.28213,0.29312,0.38838,0.38106,0.4067,0.44334,0.26014,0.29678,0.36274,0.3664,0.51662,0.42869,0.50197,0.46166,0.51296,0.74379,0.6925,0.53861,0.56059,0.6412,0.71448,0.82806,0.90501,1.1322,1.2641,1.3264,1.2641,1.2164,1.2128,1.5609,1.5975,1.8137,2.0775,2.3523,2.5062,2.3926,3.8692,4.4921,4.4847,4.7485,5.1479,4.983,5.3044,5.4598,5.6065
Bermuda,BMU,0.15755,0.17587,0.15755,0.15022,0.20152,0.17954,0.20152,0.21251,0.2235,0.19786,0.22717,0.23083,0.25282,0.42502,0.44334,0.458,0.46899,0.45434,0.42502,0.46166,0.43602,0.38838,0.39571,0.45067,0.44334,0.45067,0.42502,0.57525,0.64853,0.7841,0.59723,0.5093,0.4067,0.47998,0.47266,0.46533,0.47632,0.47632,0.46166,0.49464,0.49464,0.49464,0.52395,0.5093,0.67051,0.44334,0.52029,0.51662,0.38838,0.46533,0.47632,0.39205,0.39059,0.38568,0.39058
Bhutan,BTN,,,,,,,,,,,0.003664,0.003664,0.003664,0.003664,0.003664,0.003664,0.003664,0.007328,0.010992,0.021984,0.021984,0.025648,0.032976,0.029312,0.051296,0.062288,0.05496,0.10259,0.10992,0.062288,0.12824,0.18686,0.21618,0.18686,0.21251,0.24915,0.30411,0.39571,0.38472,0.38472,0.39938,0.38838,0.4177,0.37739,0.30778,0.39571,0.39205,0.39205,0.42136,0.38838,0.48731,0.56059,0.57272,0.57824,0.59505
Bolivia,BOL,1.0039,1.0406,1.0992,1.2128,1.4803,1.5096,1.6891,1.8906,2.1764,2.5465,2.4842,3.0594,3.5687,3.4552,3.5138,4.056,4.5763,4.4774,5.0233,4.7339,4.6643,4.7888,4.3455,4.2869,4.0377,4.122,3.7739,4.0267,4.3052,4.9904,5.5216,5.7928,6.6685,8.0571,8.9292,9.4531,10.0064,11.0176,11.4463,11.2338,10.2152,9.8159,9.5594,14.1174,13.0732,12.0582,14.7183,12.4356,13.5458,14.2346,15.3375,16.1069,17.3529,18.2128,18.324
Bosnia and Herzegovina,BIH,1.6166,1.6944,1.7388,1.9344,2.1915,2.2549,2.2344,2.2569,2.4138,2.5027,3.2705,3.5248,3.3037,3.9466,3.9639,4.136,4.2689,4.1514,4.6392,5.0461,4.9619,5.4001,4.9611,5.3422,5.6337,5.7468,6.0018,5.9641,6.1725,6.1589,6.154,4.3529,4.133,2.9459,3.228,3.4258,4.2539,8.3869,10.5853,10.3691,13.7766,13.3516,14.2896,14.4765,15.5976,16.1912,17.5506,17.5762,20.0714,20.599,21.1303,23.7281,22.156,22.9927,21.3566
Botswana,BWA,,,,,,,,,,,,,0.021984,0.051296,0.087936,0.18686,0.59357,0.78043,0.83173,0.94165,0.98562,1.0076,1.0992,1.0296,1.0442,1.1578,1.3227,1.5352,1.6158,1.7734,2.1764,2.1471,3.272,3.4955,3.4918,3.5211,3.1364,3.2097,3.8289,3.5431,4.2722,4.3308,4.4811,4.2612,4.3748,4.613,4.6423,4.6972,4.9757,4.3968,5.2285,4.8511,4.9136,5.4369,5.7319
Brazil,BRA,46.8699,49.1636,53.652,55.5719,56.6894,56.3523,64.2519,66.1389,77.358,84.2464,93.6848,102.5517,114.2692,132.3547,143.3393,151.0411,155.0275,162.8282,176.7807,188.1684,186.9373,171.6657,172.0358,166.4958,168.6686,181.1005,198.7207,207.3604,209.1924,213.8494,208.7161,219.1512,220.5252,230.5499,241.9559,258.1361,284.5499,300.3014,312.0336,319.9112,327.7155,337.1576,331.995,321.3584,337.5497,347.0248,347.3838,362.9155,387.3581,366.847,419.4108,439.0535,455.864,489.9475,507.2899
British Virgin Islands,VGB,,,0.003664,0.003664,0.007328,0.007328,0.010992,0.003664,0.014656,0.01832,0.01832,0.021984,0.021984,0.025648,0.025648,0.025648,0.025648,0.029312,0.029312,0.029312,0.029312,0.043968,0.03664,0.040304,0.040304,0.047632,0.05496,0.062288,0.065952,0.065952,0.065952,0.065952,0.069616,0.07328,0.080608,0.084272,0.095264,0.098928,0.10259,0.10259,0.10259,0.10626,0.11358,0.12091,0.12458,0.1319,0.1429,0.15022,0.16122,0.16488,0.17221,0.17587,0.17522,0.17302,0.17521
Brunei Darussalam,BRN,0.33342,0.30411,0.37006,0.35541,0.34075,0.33342,0.49098,0.43968,0.42869,0.48731,8.2037,7.5112,9.4531,9.9734,8.178,7.0752,6.02,6.39,9.5337,7.4343,6.8773,1.4693,2.0921,2.704,1.9163,2.5941,2.2973,3.3159,5.7122,6.3424,6.2068,5.5436,5.4997,5.2688,4.9977,5.093,5.1662,5.3568,5.5656,4.2283,6.1006,5.7488,4.8511,4.8731,4.8438,4.6166,4.2686,9.0464,10.021,8.5664,8.5957,9.7352,9.7894,10.0153,9.9237
Bulgaria,BGR,22.2771,25.9521,30.7116,34.383,42.8285,46.28,48.7275,55.1212,59.4777,66.3221,61.1888,64.2482,66.1169,68.7696,71.2025,73.0015,73.0565,75.9071,81.3445,79.0874,77.424,80.2782,90.0575,90.292,87.2948,89.4676,91.4534,91.5597,87.2179,86.6683,80.2316,61.4891,57.9018,58.447,56.2911,58.0431,58.3959,55.6259,52.6357,46.1574,45.5228,49.2558,46.2603,50.5045,49.433,50.3044,51.6889,55.4658,53.7078,45.4168,47.7214,53.1974,48.3639,42.9312,45.8004
Burkina Faso,BFA,0.043968,0.0916,0.084272,0.087936,0.10992,0.10259,0.10259,0.10259,0.10259,0.12091,0.1429,0.15022,0.16122,0.16854,0.20518,0.21984,0.20885,0.24915,0.34808,0.4067,0.43235,0.55693,0.57525,0.59357,0.46533,0.47632,0.47998,0.51662,0.55326,0.82074,0.58624,0.62654,0.63021,0.62654,0.64486,0.62654,0.70715,0.80608,0.86104,0.93066,1.0406,0.99661,1.0039,1.0772,1.1029,1.1248,1.3593,1.6451,1.6964,1.6635,1.6818,1.9309,2.0735,2.1385,2.1998
Burundi,MMR,0.036431,0.047737,0.043968,0.047632,0.047632,0.03664,0.047632,0.047632,0.05496,0.07328,0.062288,0.07328,0.07328,0.07328,0.0916,0.076944,0.087936,0.098928,0.10259,0.10992,0.14656,0.15755,0.15755,0.20518,0.21984,0.23083,0.24182,0.26747,0.25648,0.30045,0.29312,0.33709,0.30778,0.3261,0.33342,0.32243,0.31877,0.30411,0.29312,0.28579,0.28946,0.20518,0.21251,0.16122,0.19786,0.15389,0.18686,0.18686,0.19053,0.19053,0.19419,0.20885,0.22282,0.23178,0.2392
Cambodia,KHM,0.2345,0.28579,0.30778,0.38838,0.34075,0.40304,0.46899,0.4177,0.49098,1.3447,1.1725,0.24915,0.11725,0.12824,0.07328,0.07328,0.07328,0.07328,0.051296,0.029312,0.28579,0.30045,0.33709,0.3664,0.41037,0.4177,0.43235,0.43602,0.45067,0.45067,0.45067,0.46166,0.47632,0.47632,0.53861,1.5499,1.6158,1.5389,1.9492,1.8943,1.9749,2.2497,2.2057,2.3779,2.4439,2.7736,2.9972,3.4808,3.9718,4.1293,4.1843,4.4921,4.6726,4.7106,4.8684
Cameroon,CMR,0.27114,0.28213,0.28946,0.30045,0.33709,0.31144,0.34442,0.458,0.50563,0.57158,0.63754,0.80974,0.86104,0.89768,0.97462,1.1615,1.0919,1.5645,2.0005,1.8283,3.9022,5.3384,6.3387,6.5842,6.0529,6.4706,2.0042,1.854,2.2094,7.6321,1.7367,1.1102,3.7922,3.8948,3.8142,4.3602,4.5983,3.2133,3.206,3.0778,3.4295,3.4185,3.4148,3.7922,3.9535,3.6933,3.8582,5.8294,5.54,6.6685,6.7015,5.6572,6.1456,6.258,6.3865
Canada,CAN,192.7374,194.0235,207.016,210.9365,237.6067,251.9476,259.1071,281.6663,303.2913,307.1495,341.2063,352.3192,380.8252,381.3088,389.6517,396.8185,398.9913,407.8179,415.5562,441.7062,442.8713,429.6516,414.4717,408.3528,425.2475,421.7337,404.7218,430.9963,455.6807,462.8951,459.038,450.1266,464.3963,463.8859,478.2288,490.9458,507.3074,521.2817,530.1039,545.7934,567.7383,561.2532,566.9542,584.1158,583.133,576.7409,571.7515,594.659,576.5747,542.5212,554.4082,557.2897,550.5466,556.855,557.9611
Cape Verde,CPV,0.021984,0.021984,0.01832,0.014656,0.029312,0.025648,0.021984,0.01832,0.029312,0.03664,0.03664,0.03664,0.051296,0.062288,0.065952,0.076944,0.07328,0.080608,0.20885,0.24915,0.12091,0.032976,0.03664,0.03664,0.084272,0.084272,0.058624,0.080608,0.07328,0.080608,0.087936,0.0916,0.10259,0.10259,0.10992,0.11358,0.13923,0.1429,0.15389,0.17221,0.18686,0.20885,0.24549,0.25282,0.26381,0.29312,0.30778,0.37006,0.28579,0.30411,0.29312,0.42502,0.4566,0.47101,0.48461
Cayman Islands,CYM,0.010992,0.010992,0.010992,0.010992,0.010992,0.010992,0.01832,0.014656,0.021984,0.043968,0.03664,0.043968,0.05496,0.058624,0.05496,0.058624,0.069616,0.07328,0.095264,0.095264,0.16488,0.15755,0.16488,0.17221,0.18686,0.19419,0.20518,0.21618,0.22717,0.26014,0.25282,0.2748,0.31144,0.33342,0.3664,0.3664,0.38838,0.4067,0.42502,0.42136,0.45434,0.45434,0.46899,0.47998,0.46166,0.47998,0.48365,0.58258,0.59357,0.56059,0.56426,0.58258,0.58042,0.57312,0.58039
Central African Republic,CAF,0.087936,0.087936,0.07328,0.07328,0.07328,0.087936,0.084272,0.0916,0.1832,0.18686,0.20885,0.1832,0.16854,0.16122,0.11358,0.10259,0.12824,0.12824,0.14656,0.10259,0.10626,0.13557,0.1429,0.14656,0.15022,0.16122,0.16122,0.26014,0.23083,0.24915,0.19786,0.20518,0.21618,0.2235,0.2345,0.2345,0.2345,0.24549,0.24915,0.26381,0.26747,0.24549,0.24549,0.2345,0.21251,0.21251,0.22717,0.2345,0.2345,0.2345,0.26381,0.28579,0.30702,0.31671,0.32586
Chad,TCD,0.05496,0.051296,0.084272,0.0916,0.098928,0.10626,0.084272,0.11725,0.12458,0.16122,0.12458,0.15022,0.12091,0.16122,0.15022,0.1832,0.1832,0.19786,0.19419,0.20152,0.20885,0.20885,0.20518,0.20518,0.21618,0.17954,0.18686,0.19786,0.065952,0.10259,0.14656,0.069616,0.087936,0.098928,0.10259,0.10259,0.10626,0.11358,0.11358,0.12091,0.17587,0.17221,0.16854,0.38106,0.37739,0.39938,0.4067,0.46166,0.5093,0.49098,0.51662,0.53861,0.57862,0.59688,0.61412
Chile,CHL,13.4799,14.4618,16.7115,17.3417,17.5103,17.7521,18.778,19.2433,21.2072,22.5373,24.6441,27.0733,28.1688,27.6302,25.9338,22.9953,24.0835,23.0905,22.9293,24.8419,25.245,24.5341,20.599,20.8225,22.1819,21.4857,22.2295,22.6545,26.9048,32.3604,33.2874,31.2979,32.4484,34.5992,38.0726,41.711,48.4601,56.3487,57.5944,61.4636,58.7669,53.5054,55.2898,55.5572,60.0053,61.7677,64.7612,71.5799,71.7924,66.7508,72.1991,79.3439,81.4768,84.9441,81.526
China,CHN,780.0876,551.6152,439.9988,436.3384,436.5656,475.5835,522.3618,432.8796,468.545,576.7649,770.9862,875.9158,930.8136,967.7503,987.2062,1144.6702,1195.2151,1309.2388,1460.9724,1493.6369,1465.992,1450.3138,1578.9678,1665.6654,1813.4235,1964.9446,2067.2764,2207.9008,2367.5632,2406.5702,2458.7309,2582.4238,2693.7765,2876.3389,3055.7394,3317.5688,3460.256,3466.6716,3321.6248,3315.3411,3402.3941,3484.7132,3691.2199,4521.4749,5283.8397,5785.2801,6409.2154,6786.2483,7029.6881,7685.9178,8250.2141,9012.1393,9244.1348,9569.2672,9679.8208
